word,Information
100000150000,"[['00573', 1, [162]]]"
100000fold,"[['01191', 1, [63]]]"
1000fold,"[['00405', 1, [23]]]"
100fold,"[['00635', 1, [24]]]"
101,"[['01121', 1, [164]]]"
1010,"[['00608', 1, [41]]]"
1015,"[['00956', 1, [177]]]"
102,"[['01239', 1, [41]], ['01197', 1, [93]], ['00393', 1, [63]], ['00851', 1, [26]], ['00645', 1, [11]], ['00683', 1, [20]], ['00714', 1, [144]]]"
1021,"[['01086', 1, [72]]]"
1023,"[['00037', 1, [81]]]"
103,"[['01091', 1, [92]], ['00742', 1, [116]], ['00953', 1, [46]], ['00424', 1, [91]], ['00227', 1, [25]]]"
1031,"[['01016', 1, [66]]]"
1038,"[['00709', 1, [51]]]"
104,"[['00260', 1, [70]], ['00293', 1, [93]], ['00675', 2, [66, 71]], ['00953', 1, [65]], ['01130', 1, [74]], ['01120', 2, [118, 181]]]"
1047,"[['00048', 1, [120]]]"
105,"[['00913', 1, [63]], ['00393', 1, [71]], ['00304', 1, [113]]]"
1054,"[['00177', 1, [34]]]"
106,"[['01091', 1, [155]], ['00523', 4, [48, 52, 59, 64]], ['00953', 2, [43, 62]]]"
1060,"[['01016', 1, [68]]]"
1061,"[['00306', 1, [90]]]"
107,"[['00675', 1, [55]], ['00235', 1, [56]]]"
10722,"[['00071', 1, [12]]]"
108,"[['00145', 1, [33]], ['00851', 1, [29]], ['01100', 1, [36]], ['00675', 1, [51]], ['00048', 1, [14]], ['00982', 1, [61]]]"
10821,"[['00875', 1, [6]]]"
1088,"[['00544', 1, [66]]]"
109,"[['00660', 1, [143]]]"
1098,"[['00424', 1, [37]]]"
10fold,"[['00085', 1, [48]]]"
10minut,"[['00795', 1, [72]]]"
10year,"[['00984', 1, [50]], ['01226', 1, [16]]]"
10yearold,"[['01081', 1, [39]]]"
11,"[['00248', 1, [71]], ['01210', 1, [44]], ['00879', 1, [3]], ['01119', 1, [58]], ['00987', 1, [13]], ['01180', 1, [23]], ['01216', 1, [28]], ['01217', 1, [42]], ['01232', 1, [53]], ['00972', 1, [37]], ['01003', 1, [158]], ['00887', 2, [28, 76]], ['00951', 2, [76, 127]], ['00686', 1, [75]], ['00844', 1, [116]], ['00587', 1, [34]], ['00260', 1, [58]], ['00833', 1, [6]], ['00253', 1, [51]], ['00141', 1, [12]], ['00753', 1, [85]], ['00160', 1, [10]], ['00535', 1, [98]], ['01071', 1, [25]], ['00460', 2, [39, 47]], ['00322', 1, [92]], ['00005', 1, [19]], ['00923', 1, [20]], ['00577', 1, [24]], ['00849', 1, [71]], ['01171', 1, [27]], ['01147', 1, [28]], ['01005', 1, [130]], ['00396', 1, [11]], ['00812', 1, [95]], ['01215', 1, [20]], ['00415', 1, [45]], ['00588', 1, [5]], ['00806', 1, [29]], ['01070', 1, [75]], ['01120', 1, [251]], ['00429', 1, [59]], ['00266', 1, [56]], ['00369', 1, [71]]]"
110,"[['01204', 1, [109]], ['00880', 1, [12]], ['00616', 1, [20]], ['00111', 1, [47]]]"
1100,"[['01150', 3, [71, 86, 136]]]"
11000,"[['00984', 1, [38]], ['00565', 1, [48]], ['00559', 1, [95]], ['00214', 1, [17]]]"
110000,"[['00039', 1, [71]]]"
1100000,"[['00648', 1, [44]]]"
110013700,"[['00749', 1, [115]]]"
110phenanthrolin,"[['00847', 1, [41]]]"
111,"[['00677', 1, [93]], ['00179', 1, [28]], ['00982', 1, [8]]]"
1113,"[['01198', 1, [37]]]"
111in,"[['01063', 1, [18]]]"
111inlabel,"[['01063', 2, [2, 8]]]"
112,"[['00233', 1, [27]], ['00275', 1, [36]], ['00815', 1, [58]], ['00983', 1, [84]]]"
1122,"[['00123', 1, [65]]]"
113,"[['00145', 1, [37]], ['00904', 1, [7]], ['00874', 1, [17]], ['00109', 1, [76]]]"
1137,"[['00310', 1, [46]], ['00356', 1, [28]]]"
114,"[['01121', 1, [153]]]"
114ccholylglycin,"[['00657', 1, [31]]]"
115,"[['00709', 1, [88]]]"
11500,"[['00889', 1, [14]]]"
11524,"[['00434', 1, [5]]]"
115350,"[['01124', 1, [21]]]"
116,"[['00048', 1, [119]], ['00848', 1, [43]]]"
1169123175,"[['00596', 1, [3]]]"
117,"[['00677', 1, [55]], ['00783', 1, [9]], ['01100', 1, [28]], ['00137', 1, [136]], ['01070', 1, [74]]]"
117000,"[['00692', 1, [12]]]"
11787,"[['00855', 1, [16]]]"
118,"[['00137', 1, [118]]]"
11800,"[['00880', 1, [34]]]"
118300,"[['00356', 1, [75]]]"
119,"[['00591', 1, [20]], ['00559', 1, [101]], ['00232', 1, [47]], ['00594', 1, [40]]]"
11a,"[['00554', 1, [60]]]"
11s,"[['00223', 1, [65]]]"
11yearold,"[['00385', 1, [12]], ['00091', 1, [11]]]"
12,"[['00358', 1, [40]], ['00879', 1, [31]], ['00095', 1, [9]], ['01119', 1, [64]], ['00212', 1, [8]], ['00320', 1, [36]], ['01239', 1, [13]], ['00375', 1, [140]], ['01216', 2, [16, 34]], ['00725', 1, [69]], ['00133', 1, [14]], ['00872', 1, [31]], ['00152', 1, [69]], ['00071', 1, [77]], ['00583', 1, [7]], ['00575', 1, [39]], ['00089', 1, [18]], ['00951', 1, [79]], ['00802', 1, [15]], ['00793', 1, [25]], ['00307', 1, [80]], ['00660', 2, [22, 25]], ['00924', 1, [10]], ['00878', 1, [59]], ['00406', 1, [36]], ['00523', 1, [49]], ['00790', 2, [13, 28]], ['00984', 1, [25]], ['00141', 1, [16]], ['00111', 2, [69, 116]], ['01092', 1, [72]], ['00460', 1, [48]], ['00659', 2, [12, 14]], ['00717', 1, [46]], ['00242', 1, [35]], ['00528', 1, [48]], ['01075', 1, [31]], ['01104', 1, [46]], ['00185', 2, [85, 133]], ['00001', 1, [65]], ['00038', 1, [30]], ['00257', 1, [67]], ['00786', 1, [35]], ['00275', 1, [26]], ['00514', 1, [62]], ['00036', 1, [125]], ['00978', 1, [24]], ['01147', 1, [40]], ['01014', 1, [59]], ['00813', 1, [23]], ['01011', 1, [32]], ['00473', 1, [92]], ['00543', 2, [38, 83]], ['00290', 1, [45]], ['00209', 1, [21]], ['00983', 1, [45]], ['00812', 1, [33]], ['01021', 1, [29]], ['00823', 2, [25, 59]], ['00655', 1, [86]], ['00061', 1, [43]], ['00956', 1, [125]], ['00188', 2, [19, 112]], ['01070', 1, [80]], ['01120', 1, [183]], ['00377', 1, [75]], ['00049', 1, [18]], ['00550', 1, [11]], ['00002', 1, [83]], ['00667', 1, [41]], ['00074', 2, [20, 25]], ['00266', 1, [39]], ['00914', 1, [30]], ['01172', 1, [31]], ['00357', 1, [19]], ['00208', 1, [95]]]"
120,"[['01197', 1, [28]], ['00686', 1, [19]], ['01051', 1, [31]], ['00742', 1, [79]], ['00896', 1, [68]]]"
12000,"[['00307', 1, [107]], ['00139', 1, [39]], ['00871', 2, [24, 35]], ['00559', 1, [182]]]"
1205,"[['00818', 1, [102]]]"
121,"[['00607', 1, [116]], ['00658', 1, [70]]]"
1212,"[['01091', 1, [83]]]"
1216,"[['01020', 1, [25]]]"
122,"[['00358', 1, [64]], ['01149', 1, [198]]]"
123,"[['00382', 1, [13]], ['01042', 1, [110]]]"
1238,"[['00742', 1, [103]]]"
1239566,"[['00671', 1, [40]]]"
124,"[['01212', 1, [25]]]"
125,"[['00486', 1, [15]], ['00703', 1, [31]], ['00375', 1, [38]], ['00678', 1, [32]], ['00664', 1, [45]], ['00660', 1, [150]], ['01126', 1, [19]], ['00137', 2, [155, 159]], ['00881', 1, [24]], ['00159', 1, [26]], ['00533', 1, [41]]]"
125ilabel,"[['00890', 1, [76]], ['01205', 1, [2]]]"
125itrypsin,"[['01205', 2, [25, 34]]]"
125itrypsinalpha,"[['01205', 1, [46]]]"
126,"[['00393', 1, [68]], ['00366', 1, [21]], ['00896', 1, [23]]]"
127,"[['00951', 1, [75]], ['00137', 1, [140]], ['00786', 1, [51]], ['00275', 1, [45]]]"
1272,"[['01070', 1, [69]]]"
127321,"[['00625', 1, [36]]]"
12751,"[['00433', 1, [7]]]"
127676,"[['01011', 1, [30]]]"
128,"[['00416', 1, [59]], ['00383', 1, [19]], ['00085', 1, [27]]]"
129,"[['00951', 1, [105]]]"
13,"[['00858', 2, [54, 83]], ['01110', 1, [42]], ['01239', 1, [11]], ['00178', 2, [14, 24]], ['00695', 1, [18]], ['00375', 1, [162]], ['00922', 1, [82]], ['00725', 1, [27]], ['01232', 1, [48]], ['00972', 1, [38]], ['00988', 1, [24]], ['00892', 1, [88]], ['00649', 1, [43]], ['00738', 1, [84]], ['01200', 1, [47]], ['00984', 1, [32]], ['00782', 1, [34]], ['00612', 1, [89]], ['00535', 2, [94, 106]], ['00521', 1, [178]], ['00422', 1, [26]], ['00460', 1, [35]], ['00563', 1, [94]], ['01016', 2, [17, 93]], ['01104', 3, [12, 47, 52]], ['00185', 1, [131]], ['00069', 1, [94]], ['00998', 1, [53]], ['01171', 1, [59]], ['00275', 1, [52]], ['00036', 2, [33, 40]], ['00754', 1, [28]], ['00611', 3, [5, 18, 50]], ['00472', 1, [19]], ['00473', 1, [91]], ['01125', 1, [11]], ['00159', 1, [16]], ['00026', 1, [12]], ['00956', 1, [135]], ['00920', 1, [16]], ['00531', 1, [41]], ['00002', 1, [69]], ['01231', 1, [22]], ['00885', 1, [74]], ['00024', 1, [38]], ['00584', 1, [51]]]"
130,"[['00583', 1, [38]]]"
13000,"[['00984', 1, [36]], ['00175', 1, [41]]]"
1302,"[['00544', 1, [51]]]"
131,"[['00858', 1, [19]], ['00093', 1, [72]]]"
131i,"[['00295', 2, [45, 123]]]"
132,"[['01110', 1, [21]], ['00616', 1, [16]], ['00372', 1, [11]], ['01027', 1, [62]], ['00714', 1, [49]]]"
1322,"[['00003', 1, [38]]]"
133,"[['01197', 1, [26]], ['00421', 1, [14]], ['00778', 1, [17]], ['00983', 1, [24]]]"
1334,"[['00424', 1, [30]]]"
1345,"[['01016', 1, [76]]]"
1347,"[['00323', 1, [29]]]"
135,"[['00621', 1, [67]], ['00320', 1, [75]], ['00160', 1, [12]], ['00137', 1, [114]], ['01027', 1, [38]]]"
1350,"[['00976', 1, [33]]]"
13600,"[['00671', 1, [48]], ['00877', 1, [38]]]"
1366,"[['01016', 1, [62]]]"
137,"[['00793', 2, [26, 43]], ['00844', 1, [134]], ['01100', 1, [48]]]"
13700,"[['01083', 1, [97]]]"
138,"[['00742', 1, [99]]]"
13800,"[['01083', 1, [98]]]"
139,"[['00677', 2, [36, 103]], ['00660', 1, [130]]]"
1393,"[['01021', 1, [59]]]"
13nitrogen,"[['00699', 1, [15]]]"
14,"[['01119', 1, [8]], ['00725', 1, [36]], ['00133', 1, [26]], ['00421', 1, [21]], ['00529', 1, [14]], ['00887', 1, [19]], ['00988', 1, [7]], ['00583', 1, [56]], ['00738', 1, [85]], ['00951', 1, [69]], ['00664', 1, [33]], ['01091', 1, [82]], ['00948', 1, [6]], ['00587', 1, [22]], ['01200', 1, [132]], ['00253', 1, [22]], ['00554', 1, [41]], ['00784', 1, [9]], ['00521', 1, [182]], ['00195', 1, [25]], ['00506', 1, [79]], ['00244', 1, [29]], ['00816', 1, [17]], ['00923', 1, [21]], ['01171', 3, [34, 45, 79]], ['01188', 1, [46]], ['00843', 1, [42]], ['00193', 1, [80]], ['00107', 1, [10]], ['00600', 1, [25]], ['00611', 1, [37]], ['01081', 1, [30]], ['00472', 1, [16]], ['01112', 1, [124]], ['00224', 1, [71]], ['00983', 2, [85, 87]], ['01062', 1, [36]], ['01215', 1, [27]], ['00108', 1, [34]], ['00302', 1, [51]], ['00852', 1, [29]], ['01012', 1, [38]], ['00956', 1, [144]], ['00920', 1, [14]], ['00188', 1, [93]], ['01107', 1, [60]], ['01120', 1, [200]], ['01048', 1, [84]], ['00959', 1, [18]], ['00544', 1, [65]], ['00608', 2, [75, 85]], ['00234', 1, [83]], ['00803', 2, [127, 146]], ['00347', 1, [82]]]"
140,"[['00880', 1, [8]], ['00678', 2, [71, 100]]]"
14000,"[['00880', 1, [35]]]"
140000,"[['00648', 1, [43]]]"
1401,"[['00306', 1, [86]]]"
141,"[['00635', 1, [42]]]"
1418,"[['00865', 1, [81]]]"
142,"[['00130', 1, [32]]]"
1424,"[['00956', 1, [103]]]"
1426,"[['00374', 1, [69]]]"
143,"[['00137', 1, [129]], ['00306', 1, [91]]]"
144,"[['00260', 1, [13]], ['00460', 1, [42]], ['00161', 1, [15]]]"
1452,"[['00310', 1, [60]]]"
146,"[['00660', 1, [190]], ['00059', 1, [15]], ['00322', 2, [7, 26]]]"
148,"[['00367', 1, [107]], ['00506', 1, [46]]]"
148700,"[['00356', 1, [70]]]"
149,"[['01091', 1, [147]]]"
14c,"[['00269', 1, [30]], ['00190', 1, [68]], ['00143', 1, [38]]]"
14cglucosamin,"[['00312', 1, [53]]]"
14clabel,"[['00466', 1, [34]], ['00972', 1, [21]]]"
14cmethyllabel,"[['00143', 1, [61]]]"
14co2,"[['00657', 1, [56]]]"
14cprofil,"[['00269', 1, [52]]]"
14cspermidin,"[['00972', 3, [6, 9, 40]], ['01198', 1, [35]]]"
14weekold,"[['00345', 1, [81]]]"
